NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_107	ENSG00000112576	16048	-0.27730000019073486	0.20153187	No	
row_108	ENSG00000166949	16082	-0.28119999170303345	0.2031161	No	
row_109	ENSG00000100393	16143	-0.28780001401901245	0.20364588	No	
row_110	ENSG00000113558	16697	-0.3490000069141388	0.18429826	No	
row_111	ENSG00000099860	16958	-0.37540000677108765	0.17742448	No	
row_112	ENSG00000097007	17558	-0.4499000012874603	0.15722343	No	
row_113	ENSG00000118007	17600	-0.4560000002384186	0.16031334	No	
row_114	ENSG00000123080	17863	-0.4884999990463257	0.15454596	No	
row_115	ENSG00000175387	19058	-0.6726999878883362	0.111921586	No	
row_116	ENSG00000007968	19147	-0.6909999847412109	0.115527004	No	
row_117	ENSG00000141646	19241	-0.704800009727478	0.11906946	No	
row_118	ENSG00000124762	21753	-1.3918999433517456	0.029189952	No	
row_119	ENSG00000079335	22467	-1.7578999996185303	0.018002117	No	
row_120	ENSG00000133101	22795	-1.970900058746338	0.025122032	No	
row_121	ENSG00000147883	23635	-2.950000047683716	0.021228781	No	
